source_file,vendor_name,vendor_rut,customer_name,invoice_number,invoice_date,due_date,subtotal,tax_amount,total_amount,pages,tables_found
ICB 5657289.pdf,IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA,77965620-9,COMERCIAL CAFETERA SPA,5.657.289,01 de julio de 2026,2026-07-31,0,7.110,44.530,1,1
arabica spa-6181.pdf,Arabica Spa,77368986-5,COMERCIAL CAFETERA SPA,6.181,01 de julio de 2026,2026-07-31,299.700,56.943,356.643,1,1
bombo spa-68967.pdf,COMERCIALIZADORA BOMBO SPA,77557762-2,COMERCIAL CAFETERA SPA,68.967,03 de julio de 2026,2026-07-18,40.336,7.664,48.000,1,1
colun 30358757.pdf,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION,81094100-6,SOC. COMERCIAL CAFETERA LTDA.,30.358.757,01 de julio de 2026,2026-07-31,0,26.020,162.967,1,1
icb 5657290.pdf,IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA,77965620-9,COMERCIAL CAFETERA SPA,5.657.290,01 de julio de 2026,2026-07-31,0,2.508,15.708,1,1
sample_invoice.pdf,ACME Solutions Ltd.,,,INV-2024-0042,15/01/2024,15/02/2024,"3,500.00",805.00,"4,305.00",1,1
